"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;",,";"";3;"";;;
2;"C2,C3";"C_1206_3216Metric";2;"100nf";;;
3;"R3";"R_1206_3216Metric";1;"1k";;;
4;"C1";"C_1206_3216Metric";1;"470nF";;;
5;"U3";"SOT-23-5_HandSoldering";1;"OPAMP 2";;;
6;"U2";"SOT-23-5_HandSoldering";1;"OPAMP 1";;;
7;"R1";"R_1206_3216Metric";1;"10k";;;
8;"U1";"MODULE_102010388";1;"Xiao esp32s3";;;
9;"R6";"R_1206_3216Metric";1;"24k";;;
10;"R4";"R_1206_3216Metric";1;"200ohm";;;
11;"J2";"PinSocket_1x03_P2.54mm_Vertical";1;"SENSOR PAD For Electrochemical cell";;;
12;"J1";"PinSocket_1x02_P2.54mm_Vertical";1;"connector for PC ";;;
13;"U4";"SOT-23-5_HandSoldering";1;"OPAMP ";;;
14;"R5";"R_1206_3216Metric";1;"12k";;;
15;"R2";"R_1206_3216Metric";1;"510ohm";;;
16;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"OLED 128*64";;;
17;"U5";"SOT-23-5_HandSoldering";1;"OPAMP 5";;;
18;"J3";"PinSocket_1x02_P2.54mm_Vertical";1;"<^> 6.5V POWER";;;
19;"D1";"LED_1206_3216Metric";1;"LED";;;
20;"D2";"D_1210_3225Metric";1;"5.1V";;;
21;"U6";"SOT-23-5_HandSoldering";1;"OPAMP 4";;;
22;"R7";"R_1206_3216Metric";1;"200k";;;
